"child","value","parent"
"tapered triangle",1,"triangle"
"teardrop triangle",1,"triangle"
"telescope triangles",1,"triangle"
"thx triangle",1,"triangle"
"time triangle",1,"triangle"
"tiny triangles",1,"triangle"
"transparant triangle",1,"triangle"
"trapezoid triangle",1,"triangle"
"traveling triangle",1,"triangle"
"trouble triangle",1,"triangle"
"unexplainable triangle",1,"triangle"
"unidentified triangle",1,"triangle"
"unilateral triangle",1,"triangle"
"unlighted triangle",1,"triangle"
"unlit triangle",1,"triangle"
"upright triangle",1,"triangle"
"upside triangle",1,"triangle"
"usual triangle",1,"triangle"
"verticle triangle",1,"triangle"
"viewing triangle",1,"triangle"
"wedge triangle",1,"triangle"
"weird triangle",1,"triangle"
"westchester triangle",1,"triangle"
"whitish triangle",1,"triangle"
"wide triangle",1,"triangle"
"witness triangle",1,"triangle"
"witnessed triangle",1,"triangle"
"orange sphere",193,"circle"
"white sphere",118,"circle"
"glowing sphere",67,"circle"
"red sphere",66,"circle"
"silver sphere",59,"circle"
"bright sphere",54,"circle"
"blue sphere",53,"circle"
"white circle",46,"circle"
"orange circle",43,"circle"
"red circle",43,"circle"
"green sphere",35,"circle"
"metallic sphere",33,"circle"
"black sphere",27,"circle"
"bright circle",26,"circle"
"colored sphere",25,"circle"
"green circle",20,"circle"
"half circle",19,"circle"
"semi circle",17,"circle"
"pulsating sphere",15,"circle"
"yellow sphere",15,"circle"
"black circle",14,"circle"
"perfect circle",14,"circle"
"silver circle",14,"circle"
"light sphere",13,"circle"
"blue circle",11,"circle"
"flying sphere",11,"circle"
"glowing circle",11,"circle"
"dark circle",9,"circle"
"metalic sphere",9,"circle"
"round sphere",9,"circle"
"dark sphere",8,"circle"
"orb sphere",8,"circle"
"lighted sphere",7,"circle"
"reflective sphere",7,"circle"
"silent sphere",7,"circle"
"stationary sphere",7,"circle"
"chrome sphere",6,"circle"
"hovering sphere",6,"circle"
"illuminated sphere",6,"circle"
"oval circle",6,"circle"
"round circle",6,"circle"
"shaped sphere",6,"circle"
"shiny sphere",6,"circle"
"translucent sphere",6,"circle"
"colored circle",5,"circle"
"flashing sphere",5,"circle"
"floating sphere",5,"circle"
"golden sphere",5,"circle"
"gray sphere",5,"circle"
"grey sphere",5,"circle"
"lights circle",5,"circle"
"perfect sphere",5,"circle"
"silvery sphere",5,"circle"
"brown sphere",4,"circle"
"flaming sphere",4,"circle"
"gold sphere",4,"circle"
"oval sphere",4,"circle"
"purple sphere",4,"circle"
"quot circle",4,"circle"
"quot sphere",4,"circle"
"sized sphere",4,"circle"
"spinning circle",4,"circle"
"yellow circle",4,"circle"
"amber sphere",3,"circle"
"ball sphere",3,"circle"
"blinking sphere",3,"circle"
"color circle",3,"circle"
"crop circle",3,"circle"
"flying circle",3,"circle"
"fuzzy circle",3,"circle"
"half sphere",3,"circle"
"huge circle",3,"circle"
"huge sphere",3,"circle"
"light circle",3,"circle"
"lighted circle",3,"circle"
"lit circle",3,"circle"
"metal sphere",3,"circle"
"moving circle",3,"circle"
"moving sphere",3,"circle"
"reddish sphere",3,"circle"
"redish sphere",3,"circle"
"spinning sphere",3,"circle"
"ball circle",2,"circle"
"blinking circle",2,"circle"
"brilliant sphere",2,"circle"
"bronze sphere",2,"circle"
"burning sphere",2,"circle"
"changing sphere",2,"circle"
"circular sphere",2,"circle"
"city sphere",2,"circle"
"clockwise circle",2,"circle"
"color sphere",2,"circle"
"colorful sphere",2,"circle"
"complete circle",2,"circle"
"copper sphere",2,"circle"
"daytime sphere",2,"circle"
"dim circle",2,"circle"
"double sphere",2,"circle"
"falling circle",2,"circle"
"foot sphere",2,"circle"
"formed circle",2,"circle"
"golden circle",2,"circle"
"grey circle",2,"circle"
"greyish sphere",2,"circle"
"inside circle",2,"circle"
"ish sphere",2,"circle"
"larger sphere",2,"circle"
"object circle",2,"circle"
"ohio circle",2,"circle"
"outer circle",2,"circle"
"pulsating circle",2,"circle"
"pulsing sphere",2,"circle"
"purple circle",2,"circle"
"rotating sphere",2,"circle"
"shining sphere",2,"circle"
"size sphere",2,"circle"
"solid circle",2,"circle"
"solid sphere",2,"circle"
"star sphere",2,"circle"
"stationary circle",2,"circle"
"sunlike sphere",2,"circle"
"tight circle",2,"circle"
"transparent sphere",2,"circle"
"yellowish sphere",2,"circle"
"12ft sphere",1,"circle"
"39s circle",1,"circle"
"44saw sphere",1,"circle"
"44small sphere",1,"circle"
"44soundless sphere",1,"circle"
"44wv circle",1,"circle"
"46yard sphere",1,"circle"
"aluminum circle",1,"circle"
"amazing sphere",1,"circle"
"arizona circle",1,"circle"
"ascending sphere",1,"circle"
"base sphere",1,"circle"
"blazing sphere",1,"circle"
"blueish circle",1,"circle"
"blueish sphere",1,"circle"
"bluish circle",1,"circle"
"bluish sphere",1,"circle"
"brite sphere",1,"circle"
"burned circle",1,"circle"
"calif sphere",1,"circle"
"capital circle",1,"circle"
"changing circle",1,"circle"
"chasing sphere",1,"circle"
"cigar circle",1,"circle"
"circle sphere",1,"circle"
"close circle",1,"circle"
"closely circle",1,"circle"
"coilored sphere",1,"circle"
"collins circle",1,"circle"
"colorchanging circle",1,"circle"
"colour sphere",1,"circle"
"cone sphere",1,"circle"
"conecntric circle",1,"circle"
"confirming sphere",1,"circle"
"contained sphere",1,"circle"
"crazy circle",1,"circle"
"crystal sphere",1,"circle"
"darkenss sphere",1,"circle"
"darting circle",1,"circle"
"daylight sphere",1,"circle"
"defined circle",1,"circle"
"diagonal circle",1,"circle"
"diameter circle",1,"circle"
"diameter sphere",1,"circle"
"disk sphere",1,"circle"
"distant sphere",1,"circle"
"dominion circle",1,"circle"
"dot circle",1,"circle"
"dotted circle",1,"circle"
"double circle",1,"circle"
"dozen sphere",1,"circle"
"dual sphere",1,"circle"
"electrical sphere",1,"circle"
"elongated sphere",1,"circle"
"emitted circle",1,"circle"
"emitting circle",1,"circle"
"emitting sphere",1,"circle"
"entire circle",1,"circle"
"entire sphere",1,"circle"
"erratically circle",1,"circle"
"eventually circle",1,"circle"
"faint sphere",1,"circle"
"fiery sphere",1,"circle"
"filled circle",1,"circle"
"fireball sphere",1,"circle"
"fixated circle",1,"circle"
"flashing circle",1,"circle"
"flat circle",1,"circle"
"flat sphere",1,"circle"
"flickering sphere",1,"circle"
"forming circle",1,"circle"
"giant circle",1,"circle"
"giant sphere",1,"circle"
"glittering sphere",1,"circle"
"glow sphere",1,"circle"
"gold circle",1,"circle"
"gray circle",1,"circle"
"grayish circle",1,"circle"
"greenish sphere",1,"circle"
"hazey sphere",1,"circle"
"hazy circle",1,"circle"
"hazy sphere",1,"circle"
"helicopter circle",1,"circle"
"hoax circle",1,"circle"
"hoax sphere",1,"circle"
"hoberman sphere",1,"circle"
"hue sphere",1,"circle"
"illumination sphere",1,"circle"
"ionized sphere",1,"circle"
"irregular circle",1,"circle"
"jagged circle",1,"circle"
"largers sphere",1,"circle"
"lead sphere",1,"circle"
"lit sphere",1,"circle"
"lookin circle",1,"circle"
"low circle",1,"circle"
"lumenescent sphere",1,"circle"
"luminescent sphere",1,"circle"
"luminiscent sphere",1,"circle"
"luminous sphere",1,"circle"
"metal circle",1,"circle"
"metalic circle",1,"circle"
"middle circle",1,"circle"
"min.a circle",1,"circle"
"molten sphere",1,"circle"
"morphing sphere",1,"circle"
"motion sphere",1,"circle"
"motionless sphere",1,"circle"
"multicolor sphere",1,"circle"
"neon sphere",1,"circle"
"nevada circle",1,"circle"
"nighttime sphere",1,"circle"
"noiseless sphere",1,"circle"
"nonreflective sphere",1,"circle"
"object sphere",1,"circle"
"observant sphere",1,"circle"
"observers sphere",1,"circle"
"orage sphere",1,"circle"
"orangish circle",1,"circle"
"orb circle",1,"circle"
"orbs sphere",1,"circle"
"organe sphere",1,"circle"
"original circle",1,"circle"
"ornage sphere",1,"circle"
"oscillating sphere",1,"circle"
"perfectly circle",1,"circle"
"pike circle",1,"circle"
"possibly circle",1,"circle"
"pulsing circle",1,"circle"
"r.i sphere",1,"circle"
"rapid circle",1,"circle"
"reddish circle",1,"circle"
"reflective circle",1,"circle"
"report sphere",1,"circle"
"reveals sphere",1,"circle"
"rim circle",1,"circle"
"rimmed circle",1,"circle"
"ring circle",1,"circle"
"ringed circle",1,"circle"
"rotating circle",1,"circle"
"samller sphere",1,"circle"
"saucer circle",1,"circle"
"shape circle",1,"circle"
"shaped circle",1,"circle"
"shiney sphere",1,"circle"
"shinny circle",1,"circle"
"shiny circle",1,"circle"
"silent circle",1,"circle"
"silverish sphere",1,"circle"
"silvery circle",1,"circle"
"siver circle",1,"circle"
"sized circle",1,"circle"
"sky circle",1,"circle"
"sliver sphere",1,"circle"
"slow circle",1,"circle"
"smoke circle",1,"circle"
"smoking circle",1,"circle"
"smooth circle",1,"circle"
"speed sphere",1,"circle"
"speedy circle",1,"circle"
"sphere circle",1,"circle"
"squarish circle",1,"circle"
"stars circle",1,"circle"
"strange sphere",1,"circle"
"suspended sphere",1,"circle"
"sync circle",1,"circle"
"tail sphere",1,"circle"
"tan circle",1,"circle"
"teal sphere",1,"circle"
"teardrop sphere",1,"circle"
"time sphere",1,"circle"
"traffic circle",1,"circle"
"translusent circle",1,"circle"
"type circle",1,"circle"
"u.f.o circle",1,"circle"
"unidentified circle",1,"circle"
"unidentified sphere",1,"circle"
"unknown sphere",1,"circle"
"unusual sphere",1,"circle"
"vibrating sphere",1,"circle"
"violet sphere",1,"circle"
"visual sphere",1,"circle"
"whilte sphere",1,"circle"
"whiteish sphere",1,"circle"
"wide circle",1,"circle"
"silver disk",61,"disk"
"white disk",31,"disk"
"flying disk",29,"disk"
"black disk",19,"disk"
"round disk",18,"disk"
"glowing disk",16,"disk"
"shaped disk",14,"disk"
"circular disk",13,"disk"
"hovering disk",12,"disk"
"orange disk",12,"disk"
"metallic disk",11,"disk"
"bright disk",10,"disk"
"red disk",10,"disk"
"blue disk",9,"disk"
"huge disk",9,"disk"
"silver disks",9,"disk"
"colored disk",8,"disk"
"daylight disk",8,"disk"
"grey disk",8,"disk"
"oval disk",8,"disk"
"dark disk",7,"disk"
"green disk",7,"disk"
"stationary disk",7,"disk"
"gray disk",6,"disk"
"shiny disk",6,"disk"
"white disks",6,"disk"
"spinning disk",5,"disk"
"flying disks",4,"disk"
"light disk",4,"disk"
"metallic disks",4,"disk"
"moving disk",4,"disk"
"orange disks",4,"disk"
"red disks",4,"disk"
"rotating disk",4,"disk"
"strange disk",4,"disk"
"altitude disk",3,"disk"
"cigar disk",3,"disk"
"circular disks",3,"disk"
"matalic disk",3,"disk"
"multicolored disk",3,"disk"
"observed disk",3,"disk"
"silvery disk",3,"disk"
"amber disk",2,"disk"
"chrome disk",2,"disk"
"colored disks",2,"disk"
"fat disk",2,"disk"
"flaming disk",2,"disk"
"foot disk",2,"disk"
"glowing disks",2,"disk"
"gold disk",2,"disk"
"illuminated disks",2,"disk"
"lighted disk",2,"disk"
"luminous disks",2,"disk"
"lunar disk",2,"disk"
"metal disk",2,"disk"
"metalic disk",2,"disk"
"perfect disk",2,"disk"
"possibly disk",2,"disk"
"pulsating disk",2,"disk"
"reflecting disk",2,"disk"
"round disks",2,"disk"
"saucer disk",2,"disk"
"silent disk",2,"disk"
"thin disk",2,"disk"
"type disk",2,"disk"
"yellow disk",2,"disk"
"44flat disks",1,"disk"
"44m disk",1,"disk"
"44nj disk",1,"disk"
"44silver disk",1,"disk"
"amber disks",1,"disk"
"anomalous disk",1,"disk"
"bizzare disk",1,"disk"
"black disks",1,"disk"
"bowl disks",1,"disk"
"brigt disk",1,"disk"
"brilliant disk",1,"disk"
"carolina disk",1,"disk"
"cloaked disks",1,"disk"
"colo disk",1,"disk"
"color disk",1,"disk"
"colorful disk",1,"disk"
"colors disk",1,"disk"
"control disk",1,"disk"
"convex disk",1,"disk"
"copper disk",1,"disk"
"craft disk",1,"disk"
"cream disk",1,"disk"
"curcular disk",1,"disk"
"dark disks",1,"disk"
"daytime disk",1,"disk"
"defined disk",1,"disk"
"definite disk",1,"disk"
"dimpled disk",1,"disk"
"distant disk",1,"disk"
"domed disk",1,"disk"
"dual disk",1,"disk"
"faint disk",1,"disk"
"fiery disk",1,"disk"
"fire disk",1,"disk"
"fire disks",1,"disk"
"flashing disk",1,"disk"
"flashing disks",1,"disk"
"flat disk",1,"disk"
"flat disks",1,"disk"
"flattened disk",1,"disk"
"floating disk",1,"disk"
"fuzzy disks",1,"disk"
"glistening disk",1,"disk"
"golden disk",1,"disk"
"greyish disk",1,"disk"
"half disk",1,"disk"
"hills disk",1,"disk"
"hoax disk",1,"disk"
"kakhi disk",1,"disk"
"lead disk",1,"disk"
"loud disk",1,"disk"
"low disks",1,"disk"
"luminescent disk",1,"disk"
"luminous disk",1,"disk"
"massive disk",1,"disk"
"minutes disk",1,"disk"
"minutes.the disk",1,"disk"
"moving disks",1,"disk"
"mysterious disk",1,"disk"
"northbound disk",1,"disk"
"object disk",1,"disk"
"oblong disk",1,"disk"
"orb disk",1,"disk"
"oval disks",1,"disk"
"patterned disks",1,"disk"
"pic disk",1,"disk"
"plain disk",1,"disk"
"quot disk",1,"disk"
"refective disk",1,"disk"
"report disk",1,"disk"
"roundish disk",1,"disk"
"seperate disk",1,"disk"
"shadowy disk",1,"disk"
"shape disk",1,"disk"
"shape disks",1,"disk"
"shinny disk",1,"disk"
"shinny disks",1,"disk"
"ship disk",1,"disk"
"sighting disk",1,"disk"
"size disk",1,"disk"
"sonic disk",1,"disk"
"sphere disk",1,"disk"
"spotted disk",1,"disk"
"transparent disk",1,"disk"
"tri disk",1,"disk"
"trouble disk",1,"disk"
"tumbling disk",1,"disk"
"vertical disk",1,"disk"
"virtical disk",1,"disk"
"watching disk",1,"disk"
"wobbling disk",1,"disk"
"woods.a disk",1,"disk"
"yellow disks",1,"disk"
"yellowish disks",1,"disk"
"silver cigar",54,"cigar"
"white cigar",48,"cigar"
"orange cigar",16,"cigar"
"bright cigar",15,"cigar"
"black cigar",13,"cigar"
"metallic cigar",11,"cigar"
"glowing cigar",9,"cigar"
"colored cigar",8,"cigar"
"red cigar",7,"cigar"
"blue cigar",6,"cigar"
"dark cigar",6,"cigar"
"flying cigar",6,"cigar"
"quot cigar",6,"cigar"
"shiny cigar",6,"cigar"
"hovering cigar",5,"cigar"
"vertical cigar",5,"cigar"
"cylinder cigar",4,"cigar"
"huge cigar",4,"cigar"
"light cigar",4,"cigar"
"metalic cigar",4,"cigar"
"moving cigar",4,"cigar"
"oblong cigar",4,"cigar"
"silent cigar",4,"cigar"
"chrome cigar",3,"cigar"
"daylight cigar",3,"cigar"
"green cigar",3,"cigar"
"grey cigar",3,"cigar"
"stationary cigar",3,"cigar"
"strange cigar",3,"cigar"
"amber cigar",2,"cigar"
"brown cigar",2,"cigar"
"elongated cigar",2,"cigar"
"enormous cigar",2,"cigar"
"golden cigar",2,"cigar"
"lit cigar",2,"cigar"
"saucer cigar",2,"cigar"
"short cigar",2,"cigar"
"speed cigar",2,"cigar"
"yellow cigar",2,"cigar"
"39s cigars",1,"cigar"
"44large cigar",1,"cigar"
"44long cigar",1,"cigar"
"bizarre cigar",1,"cigar"
"bullet cigar",1,"cigar"
"buzzing cigar",1,"cigar"
"california cigar",1,"cigar"
"center cigar",1,"cigar"
"chase cigar",1,"cigar"
"cloaked cigar",1,"cigar"
"cloaking cigar",1,"cigar"
"color cigar",1,"cigar"
"colorado cigar",1,"cigar"
"craft cigar",1,"cigar"
"cylindar cigar",1,"cigar"
"cylindriacal cigar",1,"cigar"
"day cigar",1,"cigar"
"disappearing cigar",1,"cigar"
"disk cigar",1,"cigar"
"eccentric cigar",1,"cigar"
"fastmoving cigar",1,"cigar"
"fat cigar",1,"cigar"
"flashing cigar",1,"cigar"
"formed cigar",1,"cigar"
"giant cigar",1,"cigar"
"gigantic cigar",1,"cigar"
"glassy cigar",1,"cigar"
"gold cigar",1,"cigar"
"gold cigars",1,"cigar"
"gray cigar",1,"cigar"
"gree cigar",1,"cigar"
"hellicopters cigar",1,"cigar"
"holograhic cigar",1,"cigar"
"illuminated cigar",1,"cigar"
"lighted cigar",1,"cigar"
"line cigar",1,"cigar"
"luminescent cigar",1,"cigar"
"luminous cigar",1,"cigar"
"missile cigar",1,"cigar"
"missle cigar",1,"cigar"
"morning cigar",1,"cigar"
"multiple cigar",1,"cigar"
"n.j cigar",1,"cigar"
"nev cigar",1,"cigar"
"nioseless cigar",1,"cigar"
"object cigar",1,"cigar"
"observe cigar",1,"cigar"
"observes cigar",1,"cigar"
"perpendicular cigar",1,"cigar"
"phasing cigar",1,"cigar"
"precise cigar",1,"cigar"
"pulsating cigar",1,"cigar"
"quot cigars",1,"cigar"
"rectangular cigar",1,"cigar"
"reddish cigar",1,"cigar"
"reflective cigar",1,"cigar"
"report cigar",1,"cigar"
"rotating cigar",1,"cigar"
"round cigar",1,"cigar"
"sectioned cigar",1,"cigar"
"shaped cigar",1,"cigar"
"shiney cigar",1,"cigar"
"shinny cigar",1,"cigar"
"silhouette cigar",1,"cigar"
"silvery cigar",1,"cigar"
"slim cigar",1,"cigar"
"sliver cigar",1,"cigar"
"soundless cigar",1,"cigar"
"steady cigar",1,"cigar"
"surrounding cigar",1,"cigar"
"thin cigar",1,"cigar"
"transforming cigar",1,"cigar"
"tube cigar",1,"cigar"
"tubular cigar",1,"cigar"
"typical cigar",1,"cigar"
"unidentified cigar",1,"cigar"
"viewed cigar",1,"cigar"
"violet cigar",1,"cigar"
"wierd cigar",1,"cigar"
"wingless cigar",1,"cigar"
"wings cigar",1,"cigar"
"witnessed cigar",1,"cigar"
"white oval",62,"oval"
"orange oval",58,"oval"
"bright oval",54,"oval"
"glowing oval",33,"oval"
"red oval",27,"oval"
"black oval",22,"oval"
"green oval",20,"oval"
"blue oval",17,"oval"
"silver oval",12,"oval"
"grey oval",11,"oval"
"moving oval",11,"oval"
"dark oval",8,"oval"
"yellow oval",8,"oval"
"colored oval",7,"oval"
"light oval",7,"oval"
"luminous oval",7,"oval"
"circular oval",6,"oval"
"flying oval",6,"oval"
"metallic oval",6,"oval"
"shiny oval",6,"oval"
"huge oval",5,"oval"
"oblong oval",5,"oval"
"flashing oval",4,"oval"
"lighted oval",4,"oval"
"orange ovals",4,"oval"
"quot oval",4,"oval"
"red ovals",4,"oval"
"silent oval",4,"oval"
"egg oval",3,"oval"
"flying ovals",3,"oval"
"gray oval",3,"oval"
"hovering oval",3,"oval"
"illuminated oval",3,"oval"
"lit oval",3,"oval"
"metal oval",3,"oval"
"pulsating oval",3,"oval"
"silvery oval",3,"oval"
"strange oval",3,"oval"
"yellowish oval",3,"oval"
"2glassy oval",2,"oval"
"amber oval",2,"oval"
"appeared oval",2,"oval"
"bright ovals",2,"oval"
"colored ovals",2,"oval"
"disc oval",2,"oval"
"elongated oval",2,"oval"
"enormous oval",2,"oval"
"faint oval",2,"oval"
"fast oval",2,"oval"
"flat oval",2,"oval"
"flattened oval",2,"oval"
"floating oval",2,"oval"
"golden oval",2,"oval"
"grayish oval",2,"oval"
"half oval",2,"oval"
"luminescent oval",2,"oval"
"metalic oval",2,"oval"
"metallic ovals",2,"oval"
"reddish oval",2,"oval"
"reflective oval",2,"oval"
"report oval",2,"oval"
"rotating oval",2,"oval"
"round oval",2,"oval"
"slanted oval",2,"oval"
"slightly oval",2,"oval"
"stationary oval",2,"oval"
"tilted oval",2,"oval"
"unknown oval",2,"oval"
"white ovals",2,"oval"
"witnessed oval",2,"oval"
"39s oval",1,"oval"
"44blue oval",1,"oval"
"altitude oval",1,"oval"
"amber ovals",1,"oval"
"angelo oval",1,"oval"
"beautiful oval",1,"oval"
"billowy oval",1,"oval"
"black ovals",1,"oval"
"blue ovals",1,"oval"
"blurred oval",1,"oval"
"brilliant oval",1,"oval"
"bronze oval",1,"oval"
"bugish oval",1,"oval"
"car.an oval",1,"oval"
"changing oval",1,"oval"
"cigar oval",1,"oval"
"circle oval",1,"oval"
"clean oval",1,"oval"
"close oval",1,"oval"
"color oval",1,"oval"
"color ovals",1,"oval"
"colorful oval",1,"oval"
"colors oval",1,"oval"
"cylinder oval",1,"oval"
"darkened oval",1,"oval"
"day oval",1,"oval"
"deffinitly oval",1,"oval"
"diamond oval",1,"oval"
"dim oval",1,"oval"
"disapp oval",1,"oval"
"double oval",1,"oval"
"eclipse oval",1,"oval"
"falling oval",1,"oval"
"fat oval",1,"oval"
"fiery oval",1,"oval"
"firey oval",1,"oval"
"flash oval",1,"oval"
"florecent oval",1,"oval"
"focus oval",1,"oval"
"giant oval",1,"oval"
"gliding oval",1,"oval"
"glow oval",1,"oval"
"glowing ovals",1,"oval"
"gold oval",1,"oval"
"green ovals",1,"oval"
"hazy oval",1,"oval"
"hoax oval",1,"oval"
"horizontal oval",1,"oval"
"hours oval",1,"oval"
"humming oval",1,"oval"
"irridescent oval",1,"oval"
"jagged oval",1,"oval"
"larger oval",1,"oval"
"lebanon oval",1,"oval"
"lighted ovals",1,"oval"
"lights oval",1,"oval"
"lit ovals",1,"oval"
"lite oval",1,"oval"
"looked oval",1,"oval"
"luminum oval",1,"oval"
"manilla oval",1,"oval"
"medium oval",1,"oval"
"mettalic oval",1,"oval"
"midday oval",1,"oval"
"min oval",1,"oval"
"moving ovals",1,"oval"
"multple oval",1,"oval"
"mysterious oval",1,"oval"
"narrow oval",1,"oval"
"neon oval",1,"oval"
"numerous oval",1,"oval"
"object oval",1,"oval"
"observe oval",1,"oval"
"observerd oval",1,"oval"
"opaque oval",1,"oval"
"oranges oval",1,"oval"
"orangish oval",1,"oval"
"orbs oval",1,"oval"
"philadelphia.pa oval",1,"oval"
"pink oval",1,"oval"
"polished oval",1,"oval"
"pulsing oval",1,"oval"
"purple oval",1,"oval"
"purple ovals",1,"oval"
"quick oval",1,"oval"
"rect oval",1,"oval"
"rectangular oval",1,"oval"
"reddish ovals",1,"oval"
"redish oval",1,"oval"
"reflecting oval",1,"oval"
"rolling oval",1,"oval"
"saucer oval",1,"oval"
"saucer ovals",1,"oval"
"scary oval",1,"oval"
"scintilating oval",1,"oval"
"sheres ovals",1,"oval"
"shimmering oval",1,"oval"
"shining oval",1,"oval"
"sighting oval",1,"oval"
"single oval",1,"oval"
"sky ovals",1,"oval"
"smooth oval",1,"oval"
"soild oval",1,"oval"
"solid oval",1,"oval"
"speed oval",1,"oval"
"sphere oval",1,"oval"
"spheres ovals",1,"oval"
"squashed oval",1,"oval"
"stealth oval",1,"oval"
"strobing ovals",1,"oval"
"texas oval",1,"oval"
"tiny oval",1,"oval"
"transluslucent oval",1,"oval"
"transparent oval",1,"oval"
"twirling oval",1,"oval"
"unbelievable oval",1,"oval"
"unidentified oval",1,"oval"
"unlit oval",1,"oval"
"unusual oval",1,"oval"
"visible oval",1,"oval"
"wavy oval",1,"oval"
"weird oval",1,"oval"
"west oval",1,"oval"
"yellow ovals",1,"oval"
