State,Changing,Chevron,Cigar,Circle,Cone,Cross,Cylinder,Diamond,Disk,Egg,Fireball,Flash,Formation,Light,Other,Oval,Rectangle,Sphere,Teardrop,Triangle,Unknown
ab,4.0,2.0,10.0,29.0,4.0,1.0,6.0,9.0,21.0,3.0,12.0,7.0,17.0,66.0,28.0,13.0,5.0,22.0,3.0,34.0,32.0
ak,5.0,,6.0,30.0,1.0,,6.0,5.0,29.0,1.0,18.0,12.0,6.0,98.0,22.0,20.0,4.0,29.0,1.0,27.0,21.0
al,13.0,9.0,16.0,64.0,1.0,3.0,12.0,15.0,44.0,12.0,47.0,15.0,14.0,139.0,44.0,34.0,10.0,50.0,6.0,83.0,46.0
ar,19.0,11.0,24.0,70.0,1.0,2.0,17.0,9.0,41.0,4.0,28.0,14.0,13.0,149.0,37.0,22.0,9.0,30.0,8.0,92.0,55.0
az,77.0,32.0,54.0,239.0,14.0,7.0,42.0,31.0,135.0,25.0,182.0,43.0,125.0,613.0,220.0,116.0,39.0,177.0,25.0,254.0,176.0
bc,15.0,6.0,15.0,66.0,,3.0,15.0,8.0,63.0,7.0,44.0,20.0,22.0,204.0,80.0,29.0,6.0,36.0,5.0,66.0,58.0
ca,290.0,158.0,216.0,899.0,31.0,32.0,134.0,155.0,693.0,95.0,744.0,154.0,318.0,1983.0,677.0,420.0,159.0,674.0,79.0,891.0,603.0
co,38.0,32.0,35.0,123.0,3.0,3.0,31.0,15.0,99.0,12.0,99.0,37.0,45.0,308.0,115.0,72.0,26.0,110.0,12.0,172.0,89.0
ct,14.0,13.0,34.0,101.0,5.0,5.0,20.0,16.0,61.0,8.0,97.0,14.0,18.0,172.0,66.0,49.0,23.0,50.0,14.0,86.0,73.0
dc,4.0,1.0,3.0,5.0,1.0,,7.0,2.0,9.0,1.0,8.0,1.0,3.0,16.0,10.0,3.0,1.0,14.0,,6.0,1.0
de,4.0,2.0,,24.0,,,1.0,3.0,13.0,3.0,10.0,3.0,6.0,33.0,11.0,3.0,2.0,18.0,2.0,30.0,14.0
fl,113.0,51.0,89.0,387.0,13.0,13.0,72.0,56.0,242.0,37.0,452.0,66.0,126.0,821.0,280.0,214.0,69.0,292.0,38.0,385.0,293.0
ga,33.0,10.0,40.0,148.0,5.0,5.0,17.0,20.0,90.0,16.0,104.0,22.0,26.0,263.0,110.0,60.0,25.0,89.0,14.0,134.0,94.0
hi,7.0,4.0,5.0,43.0,2.0,,6.0,5.0,18.0,5.0,37.0,12.0,6.0,87.0,22.0,14.0,3.0,33.0,1.0,17.0,17.0
ia,21.0,8.0,15.0,59.0,2.0,,5.0,8.0,36.0,3.0,54.0,12.0,20.0,172.0,33.0,35.0,10.0,33.0,8.0,111.0,53.0
id,16.0,8.0,17.0,49.0,2.0,3.0,4.0,5.0,43.0,3.0,36.0,12.0,16.0,139.0,36.0,17.0,8.0,34.0,4.0,54.0,33.0
il,62.0,29.0,59.0,279.0,7.0,5.0,35.0,29.0,159.0,30.0,217.0,39.0,96.0,560.0,160.0,119.0,41.0,155.0,21.0,316.0,170.0
in,25.0,11.0,32.0,129.0,5.0,1.0,23.0,20.0,92.0,11.0,127.0,22.0,39.0,283.0,98.0,62.0,23.0,95.0,9.0,155.0,102.0
ks,11.0,4.0,19.0,53.0,3.0,8.0,12.0,8.0,32.0,9.0,51.0,12.0,19.0,146.0,53.0,18.0,8.0,44.0,10.0,69.0,49.0
ky,30.0,10.0,34.0,92.0,2.0,3.0,11.0,14.0,68.0,6.0,70.0,9.0,15.0,179.0,68.0,35.0,19.0,54.0,4.0,110.0,68.0
la,16.0,5.0,18.0,59.0,,,11.0,5.0,29.0,2.0,42.0,6.0,18.0,129.0,32.0,34.0,10.0,46.0,11.0,73.0,40.0
ma,30.0,16.0,31.0,127.0,6.0,2.0,24.0,25.0,89.0,14.0,97.0,20.0,33.0,255.0,103.0,86.0,24.0,100.0,13.0,139.0,104.0
mb,4.0,,2.0,15.0,,,1.0,,15.0,,15.0,3.0,4.0,31.0,12.0,5.0,3.0,9.0,,13.0,20.0
md,25.0,10.0,30.0,89.0,,,14.0,11.0,69.0,7.0,54.0,20.0,32.0,171.0,62.0,49.0,13.0,70.0,7.0,95.0,64.0
me,9.0,3.0,18.0,75.0,,5.0,10.0,10.0,36.0,2.0,50.0,11.0,12.0,139.0,38.0,35.0,8.0,51.0,6.0,65.0,33.0
mi,45.0,11.0,47.0,170.0,10.0,4.0,28.0,32.0,149.0,17.0,188.0,28.0,64.0,427.0,130.0,96.0,39.0,132.0,19.0,239.0,137.0
mn,19.0,19.0,26.0,99.0,1.0,4.0,10.0,17.0,62.0,10.0,64.0,20.0,50.0,231.0,71.0,46.0,24.0,70.0,12.0,132.0,76.0
mo,34.0,28.0,56.0,110.0,5.0,4.0,37.0,23.0,102.0,9.0,132.0,15.0,26.0,328.0,116.0,61.0,23.0,113.0,14.0,192.0,118.0
ms,8.0,4.0,11.0,45.0,1.0,1.0,12.0,4.0,36.0,5.0,24.0,9.0,6.0,75.0,32.0,17.0,7.0,24.0,4.0,51.0,31.0
mt,12.0,8.0,11.0,33.0,1.0,2.0,3.0,10.0,32.0,4.0,57.0,11.0,15.0,115.0,27.0,28.0,5.0,28.0,3.0,38.0,49.0
nb,4.0,,4.0,8.0,,,2.0,3.0,14.0,,13.0,2.0,4.0,21.0,4.0,5.0,2.0,9.0,2.0,9.0,9.0
nc,42.0,28.0,50.0,192.0,8.0,6.0,30.0,25.0,117.0,15.0,135.0,29.0,63.0,392.0,117.0,80.0,32.0,136.0,16.0,192.0,143.0
nd,5.0,1.0,4.0,10.0,,,3.0,4.0,12.0,1.0,5.0,3.0,1.0,20.0,14.0,6.0,3.0,4.0,4.0,26.0,6.0
ne,9.0,3.0,15.0,36.0,2.0,1.0,4.0,7.0,21.0,3.0,27.0,4.0,9.0,87.0,33.0,15.0,13.0,33.0,7.0,36.0,31.0
nf,1.0,,,1.0,,,1.0,,2.0,1.0,,2.0,,8.0,2.0,2.0,1.0,2.0,,,2.0
nh,16.0,3.0,19.0,53.0,3.0,,7.0,11.0,40.0,5.0,31.0,4.0,13.0,125.0,33.0,22.0,16.0,37.0,5.0,44.0,42.0
nj,27.0,16.0,37.0,151.0,8.0,4.0,23.0,21.0,140.0,11.0,126.0,27.0,39.0,274.0,120.0,83.0,28.0,99.0,13.0,136.0,104.0
nm,31.0,11.0,18.0,62.0,13.0,3.0,18.0,15.0,56.0,7.0,44.0,19.0,19.0,171.0,56.0,34.0,20.0,49.0,11.0,56.0,72.0
ns,1.0,,5.0,13.0,,1.0,1.0,2.0,3.0,2.0,11.0,3.0,3.0,48.0,13.0,5.0,1.0,10.0,1.0,7.0,12.0
nt,1.0,1.0,1.0,3.0,,,,,1.0,,2.0,,,5.0,1.0,1.0,1.0,1.0,,,2.0
nv,23.0,15.0,25.0,73.0,3.0,1.0,18.0,10.0,56.0,5.0,51.0,15.0,38.0,183.0,78.0,55.0,13.0,65.0,9.0,65.0,75.0
ny,73.0,47.0,91.0,331.0,10.0,11.0,44.0,51.0,239.0,42.0,240.0,59.0,93.0,622.0,215.0,177.0,53.0,191.0,36.0,314.0,211.0
oh,57.0,18.0,61.0,230.0,13.0,9.0,42.0,40.0,157.0,23.0,238.0,30.0,75.0,472.0,150.0,114.0,35.0,190.0,21.0,267.0,157.0
ok,23.0,8.0,30.0,71.0,6.0,4.0,15.0,8.0,48.0,3.0,54.0,13.0,25.0,157.0,56.0,32.0,17.0,38.0,7.0,71.0,70.0
on,34.0,26.0,46.0,172.0,7.0,4.0,29.0,19.0,95.0,15.0,138.0,32.0,43.0,324.0,106.0,67.0,29.0,126.0,14.0,141.0,93.0
or,51.0,22.0,50.0,178.0,5.0,8.0,36.0,24.0,86.0,13.0,128.0,33.0,51.0,421.0,124.0,78.0,22.0,137.0,15.0,155.0,125.0
pa,43.0,17.0,79.0,247.0,16.0,7.0,34.0,36.0,175.0,26.0,234.0,31.0,90.0,514.0,178.0,134.0,42.0,154.0,25.0,250.0,190.0
pe,1.0,,,2.0,,,,1.0,1.0,,3.0,,,3.0,1.0,2.0,2.0,,,1.0,
pq,3.0,,3.0,5.0,,,2.0,2.0,4.0,1.0,5.0,1.0,10.0,17.0,6.0,2.0,2.0,11.0,,10.0,4.0
pr,1.0,,2.0,3.0,,1.0,,2.0,4.0,1.0,1.0,,1.0,1.0,3.0,4.0,,3.0,,1.0,3.0
qc,9.0,,5.0,13.0,,,2.0,7.0,12.0,3.0,8.0,3.0,8.0,35.0,19.0,12.0,2.0,13.0,3.0,12.0,10.0
ri,3.0,9.0,4.0,35.0,2.0,,6.0,5.0,26.0,9.0,23.0,3.0,13.0,51.0,21.0,5.0,6.0,13.0,4.0,28.0,17.0
sa,,3.0,2.0,1.0,,,,2.0,3.0,,,2.0,1.0,4.0,2.0,3.0,,,1.0,4.0,2.0
sc,33.0,9.0,28.0,114.0,4.0,2.0,13.0,10.0,50.0,3.0,87.0,23.0,41.0,268.0,68.0,43.0,13.0,72.0,8.0,95.0,74.0
sd,3.0,2.0,3.0,14.0,,,2.0,1.0,9.0,1.0,12.0,4.0,7.0,48.0,17.0,10.0,4.0,4.0,2.0,22.0,24.0
sk,3.0,3.0,2.0,11.0,,,2.0,,8.0,,7.0,1.0,1.0,22.0,9.0,2.0,2.0,6.0,,12.0,5.0
tn,25.0,15.0,44.0,110.0,4.0,3.0,42.0,20.0,76.0,12.0,88.0,15.0,30.0,207.0,86.0,63.0,20.0,81.0,8.0,129.0,84.0
tx,100.0,55.0,113.0,306.0,11.0,8.0,65.0,58.0,238.0,35.0,215.0,59.0,110.0,745.0,303.0,205.0,72.0,221.0,38.0,382.0,284.0
ut,22.0,10.0,12.0,69.0,4.0,2.0,6.0,12.0,58.0,9.0,61.0,15.0,25.0,152.0,46.0,26.0,9.0,55.0,9.0,80.0,49.0
va,35.0,20.0,46.0,144.0,7.0,4.0,20.0,23.0,91.0,12.0,96.0,26.0,38.0,253.0,90.0,64.0,19.0,109.0,10.0,140.0,117.0
vt,6.0,2.0,7.0,27.0,3.0,3.0,7.0,2.0,15.0,1.0,26.0,7.0,12.0,66.0,20.0,14.0,5.0,26.0,2.0,27.0,23.0
wa,92.0,46.0,66.0,347.0,17.0,8.0,56.0,53.0,210.0,38.0,381.0,82.0,127.0,935.0,283.0,189.0,65.0,289.0,29.0,358.0,318.0
wi,23.0,8.0,34.0,135.0,4.0,4.0,18.0,26.0,73.0,11.0,127.0,18.0,64.0,297.0,83.0,45.0,15.0,80.0,14.0,120.0,105.0
wv,11.0,5.0,13.0,49.0,1.0,2.0,18.0,3.0,29.0,6.0,29.0,4.0,14.0,104.0,31.0,25.0,5.0,23.0,4.0,58.0,42.0
wy,5.0,4.0,2.0,16.0,,,3.0,1.0,9.0,3.0,17.0,5.0,5.0,52.0,18.0,9.0,2.0,17.0,2.0,16.0,12.0
yk,,,,1.0,,,,,1.0,,,,,1.0,,1.0,,,1.0,,1.0
yt,,,,2.0,,,,,,,2.0,,,1.0,1.0,,,3.0,,2.0,2.0
